"file","Time","Well","Measurements","Growth_Media","Strain_Names"
"GC_H/H1",1,"E6",0.0196797250859106,"Fly","VgrG1a"
"GC_H/H1",1,"E7",-0.00672027491408933,"Fly","VgrG1a"
"GC_H/H1",1,"E8",-0.00782027491408938,"Fly","VgrG1b"
"GC_H/H1",1,"E9",0.000679725085910632,"Fly","VgrG1b"
"GC_H/H1",1,"E10",-0.0134202749140894,"Fly","VgrG1b"
"GC_H/H1",1.25,"C2",-0.0134202749140894,"Fly","PAO1"
"GC_H/H1",1.25,"C3",-0.00582027491408937,"Fly","PAO1"
"GC_H/H1",1.25,"C4",0.00847972508591066,"Fly","PAO1"
"GC_H/H1",1.25,"C5",0.00967972508591064,"Fly","tagR"
"GC_H/H1",1.25,"C6",0.0120797250859107,"Fly","tagR"
"GC_H/H1",1.25,"C7",-0.0144202749140894,"Fly","tagR"
"GC_H/H1",1.25,"C8",-0.00142027491408936,"Fly","clpV1"
"GC_H/H1",1.25,"C9",-0.0123202749140894,"Fly","clpV1"
"GC_H/H1",1.25,"C10",-0.0105202749140894,"Fly","clpV1"
"GC_H/H1",1.25,"E2",-0.0182202749140893,"Fly","anr"
"GC_H/H1",1.25,"E3",-0.00852027491408935,"Fly","anr"
"GC_H/H1",1.25,"E4",0.0112797250859106,"Fly","anr"
"GC_H/H1",1.25,"E5",0.00197972508591066,"Fly","VgrG1a"
"GC_H/H1",1.25,"E6",0.0200797250859107,"Fly","VgrG1a"
"GC_H/H1",1.25,"E7",-0.00682027491408937,"Fly","VgrG1a"
"GC_H/H1",1.25,"E8",-0.00972027491408933,"Fly","VgrG1b"
"GC_H/H1",1.25,"E9",0.00157972508591064,"Fly","VgrG1b"
"GC_H/H1",1.25,"E10",-0.00932027491408938,"Fly","VgrG1b"
"GC_H/H1",1.5,"C2",-0.0113202749140894,"Fly","PAO1"
"GC_H/H1",1.5,"C3",-0.00552027491408935,"Fly","PAO1"
"GC_H/H1",1.5,"C4",0.00937972508591062,"Fly","PAO1"
"GC_H/H1",1.5,"C5",0.0111797250859106,"Fly","tagR"
"GC_H/H1",1.5,"C6",0.0100797250859107,"Fly","tagR"
"GC_H/H1",1.5,"C7",-0.0132202749140893,"Fly","tagR"
"GC_H/H1",1.5,"C8",0.000479725085910654,"Fly","clpV1"
"GC_H/H1",1.5,"C9",-0.0121202749140893,"Fly","clpV1"
"GC_H/H1",1.5,"C10",-0.0124202749140894,"Fly","clpV1"
"GC_H/H1",1.5,"E2",-0.0205202749140894,"Fly","anr"
"GC_H/H1",1.5,"E3",-0.00992027491408937,"Fly","anr"
"GC_H/H1",1.5,"E4",0.0103797250859106,"Fly","anr"
"GC_H/H1",1.5,"E5",0.00287972508591067,"Fly","VgrG1a"
"GC_H/H1",1.5,"E6",0.0206797250859106,"Fly","VgrG1a"
"GC_H/H1",1.5,"E7",-0.00682027491408937,"Fly","VgrG1a"
"GC_H/H1",1.5,"E8",-0.0110202749140894,"Fly","VgrG1b"
"GC_H/H1",1.5,"E9",0.00137972508591067,"Fly","VgrG1b"
"GC_H/H1",1.5,"E10",-0.0110202749140894,"Fly","VgrG1b"
"GC_H/H1",1.75,"C2",-0.00772027491408933,"Fly","PAO1"
"GC_H/H1",1.75,"C3",-0.00472027491408938,"Fly","PAO1"
"GC_H/H1",1.75,"C4",0.0108797250859106,"Fly","PAO1"
"GC_H/H1",1.75,"C5",0.00977972508591063,"Fly","tagR"
"GC_H/H1",1.75,"C6",0.0102797250859106,"Fly","tagR"
"GC_H/H1",1.75,"C7",-0.0152202749140893,"Fly","tagR"
"GC_H/H1",1.75,"C8",-0.000620274914089336,"Fly","clpV1"
"GC_H/H1",1.75,"C9",-0.00982027491408938,"Fly","clpV1"
"GC_H/H1",1.75,"C10",-0.0115202749140894,"Fly","clpV1"
"GC_H/H1",1.75,"E2",-0.0214202749140894,"Fly","anr"
"GC_H/H1",1.75,"E3",-0.00962027491408934,"Fly","anr"
"GC_H/H1",1.75,"E4",0.0112797250859106,"Fly","anr"
"GC_H/H1",1.75,"E5",0.0101797250859106,"Fly","VgrG1a"
"GC_H/H1",1.75,"E6",0.0256797250859107,"Fly","VgrG1a"
"GC_H/H1",1.75,"E7",-0.00142027491408936,"Fly","VgrG1a"
"GC_H/H1",1.75,"E8",-0.00722027491408933,"Fly","VgrG1b"
"GC_H/H1",1.75,"E9",0.00377972508591062,"Fly","VgrG1b"
"GC_H/H1",1.75,"E10",-0.00842027491408937,"Fly","VgrG1b"
"GC_H/H1",2,"C2",-0.00242027491408936,"Fly","PAO1"
"GC_H/H1",2,"C3",-0.000620274914089336,"Fly","PAO1"
"GC_H/H1",2,"C4",0.0146797250859106,"Fly","PAO1"
"GC_H/H1",2,"C5",0.0119797250859107,"Fly","tagR"
"GC_H/H1",2,"C6",0.0113797250859106,"Fly","tagR"
"GC_H/H1",2,"C7",-0.0104202749140894,"Fly","tagR"
"GC_H/H1",2,"C8",0.000679725085910632,"Fly","clpV1"
"GC_H/H1",2,"C9",-0.00732027491408938,"Fly","clpV1"
"GC_H/H1",2,"C10",-0.00822027491408933,"Fly","clpV1"
"GC_H/H1",2,"E2",-0.0208202749140893,"Fly","anr"
"GC_H/H1",2,"E3",-0.00842027491408937,"Fly","anr"
"GC_H/H1",2,"E4",0.0118797250859106,"Fly","anr"
"GC_H/H1",2,"E5",0.00907972508591065,"Fly","VgrG1a"
"GC_H/H1",2,"E6",0.0298797250859106,"Fly","VgrG1a"
"GC_H/H1",2,"E7",0.00647972508591066,"Fly","VgrG1a"
"GC_H/H1",2,"E8",-0.000320274914089369,"Fly","VgrG1b"
"GC_H/H1",2,"E9",0.00537972508591067,"Fly","VgrG1b"
"GC_H/H1",2,"E10",-0.00352027491408935,"Fly","VgrG1b"
